2026-09-02 23:28:40.551 INFO: ===========VERIFYING SETTINGS===========
2026-09-02 23:28:40.551 INFO: Stage Two is activated as start_stage_two was defined
2026-09-02 23:28:40.551 WARNING: start_stage_two must be less than max_num_epochs, got 501 > 500
2026-09-02 23:28:40.551 WARNING: Stage Two will not start, as start_stage_two > max_num_epochs
2026-09-02 23:28:40.551 INFO: MACE version: 0.3.16
2026-09-02 23:28:40.625 INFO: CUDA version: 12.6, CUDA device: 0
2026-09-02 23:28:40.677 INFO: ===========LOADING INPUT DATA===========
2026-09-02 23:28:40.677 INFO: Using heads: ['Default']
2026-09-02 23:28:40.677 INFO: Using the key specifications to parse data:
2026-09-02 23:28:40.677 INFO: Default: KeySpecification(info_keys={'energy': 'TotEnergy', 'stress': 'REF_stress', 'virials': 'REF_virials', 'dipole': 'dipole', 'head': 'head', 'elec_temp': 'elec_temp', 'total_charge': 'total_charge', 'polarizability': 'polarizability', 'total_spin': 'total_spin'}, arrays_keys={'forces': 'force', 'charges': 'REF_charges'})
2026-09-02 23:28:40.677 INFO: =============    Processing head Default     ===========
2026-09-02 23:28:40.810 INFO: Training set 1/1 [energy: 206, stress: 0, virials: 0, dipole components: 0, head: 206, elec_temp: 0, total_charge: 0, polarizability: 0, total_spin: 0, forces: 206, charges: 0]
2026-09-02 23:28:40.812 INFO: Total Training set [energy: 206, stress: 0, virials: 0, dipole components: 0, head: 206, elec_temp: 0, total_charge: 0, polarizability: 0, total_spin: 0, forces: 206, charges: 0]
2026-09-02 23:28:40.832 INFO: Validation set 1/1 [energy: 11, stress: 0, virials: 0, dipole components: 0, head: 11, elec_temp: 0, total_charge: 0, polarizability: 0, total_spin: 0, forces: 11, charges: 0]
2026-09-02 23:28:40.832 INFO: Total Validation set [energy: 11, stress: 0, virials: 0, dipole components: 0, head: 11, elec_temp: 0, total_charge: 0, polarizability: 0, total_spin: 0, forces: 11, charges: 0]
2026-09-02 23:28:40.832 INFO: Total number of configurations: train=206, valid=11, tests=[],
2026-09-02 23:28:40.832 INFO: Using atomic numbers from command line argument
2026-09-02 23:28:40.832 INFO: Atomic Numbers used: [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 26, 29, 30, 35, 53]
2026-09-02 23:28:40.832 INFO: Isolated Atomic Energies (E0s) not in training file, using command line argument
2026-09-02 23:28:40.833 INFO: Atomic Energies used (z: eV) for head Default: {1: -13.44479871561175, 2: -78.82026497397555, 3: -203.32889490923526, 4: -398.9476678874043, 5: -670.7505467717353, 6: -1029.852812546429, 7: -1485.5394904484108, 8: -2042.975987335815, 9: -2714.2417581011205, 10: -3508.7436184608446, 11: -4415.242408190776, 12: -5443.898798172279, 13: -6594.619151072571, 14: -7873.684872727564, 15: -9285.660884444838, 16: -10832.622086200296, 17: -12520.671203385575, 18: -14354.28030489181, 19: -16323.546294804388, 20: -18436.482948520596, 26: -34384.00563450578, 29: -44637.392129868334, 30: -48417.153705836645, 35: -70041.25095534947, 53: -8099.879137037657}
2026-09-02 23:28:40.833 INFO: Processing datasets for head 'Default'
2026-09-02 23:28:41.004 INFO: Combining 1 list datasets for head 'Default'
2026-09-02 23:28:41.013 INFO: Combining 1 list datasets for head 'Default_valid'
2026-09-02 23:28:41.014 INFO: Combined validation datasets for Default
2026-09-02 23:28:41.014 INFO: Head 'Default' training dataset size: 206
2026-09-02 23:28:41.014 INFO: Computing average number of neighbors
2026-09-02 23:28:41.296 INFO: Average number of neighbors: 21.37837791442871
2026-09-02 23:28:41.297 INFO: During training the following quantities will be reported: energy, forces
2026-09-02 23:28:41.297 INFO: ===========MODEL DETAILS===========
2026-09-02 23:28:41.440 INFO: Building model
2026-09-02 23:28:41.440 INFO: Message passing with 32 channels and max_L=0 (32x0e)
2026-09-02 23:28:41.441 INFO: 2 layers, each with correlation order: 3 (body order: 4) and spherical harmonics up to: l=3
2026-09-02 23:28:41.441 INFO: 8 radial and 5 basis functions
2026-09-02 23:28:41.441 INFO: Radial cutoff: 5.0 A (total receptive field for each atom: 10.0 A)
2026-09-02 23:28:41.441 INFO: Distance transform for radial basis functions: None
2026-09-02 23:28:41.441 INFO: Hidden irreps: 32x0e
2026-09-02 23:28:42.440 INFO: ===========OPTIMIZER INFORMATION===========
2026-09-02 23:28:42.440 INFO: Using ADAM as parameter optimizer
2026-09-02 23:28:42.440 INFO: Batch size: 4
2026-09-02 23:28:42.440 INFO: Using Exponential Moving Average with decay: 0.99
2026-09-02 23:28:42.440 INFO: Number of gradient updates: 25750
2026-09-02 23:28:42.440 INFO: Learning rate: 0.01, weight decay: 1e-06
2026-09-02 23:28:42.440 INFO: WeightedEnergyForcesLoss(energy_weight=1.000, forces_weight=100.000)
2026-09-02 23:28:42.441 INFO: === Layer's learning rates ===
2026-09-02 23:28:42.441 INFO: Param group 0: lr = 0.01
2026-09-02 23:28:42.441 INFO: Param group 1: lr = 0.01
2026-09-02 23:28:42.441 INFO: Param group 2: lr = 0.01
2026-09-02 23:28:42.441 INFO: Param group 3: lr = 0.01
2026-09-02 23:28:42.441 INFO: Param group 4: lr = 0.01
2026-09-02 23:28:42.442 INFO: Using gradient clipping with tolerance=10.000
2026-09-02 23:28:42.442 INFO: 
2026-09-02 23:28:42.442 INFO: ===========TRAINING===========
2026-09-02 23:28:42.442 INFO: Started training, reporting errors on validation set
2026-09-02 23:28:42.442 INFO: Loss metrics on validation set
2026-09-02 23:28:43.483 INFO: Initial: head: Default, loss=2.58452797, RMSE_E_per_atom= 5004.23 meV, RMSE_F=  184.05 meV / A
2026-09-02 23:30:32.744 INFO: Epoch 36: head: Default, loss=0.02740335, RMSE_E_per_atom=    5.38 meV, RMSE_F=   54.90 meV / A
2026-09-02 23:30:35.637 INFO: Epoch 37: head: Default, loss=0.02652035, RMSE_E_per_atom=    5.11 meV, RMSE_F=   54.01 meV / A
2026-09-02 23:30:38.530 INFO: Epoch 38: head: Default, loss=0.02553431, RMSE_E_per_atom=    6.37 meV, RMSE_F=   52.99 meV / A
2026-09-02 23:30:41.420 INFO: Epoch 39: head: Default, loss=0.02507820, RMSE_E_per_atom=    4.21 meV, RMSE_F=   52.52 meV / A
2026-09-02 23:30:44.341 INFO: Epoch 40: head: Default, loss=0.02470424, RMSE_E_per_atom=    7.55 meV, RMSE_F=   52.12 meV / A
2026-09-02 23:30:47.236 INFO: Epoch 41: head: Default, loss=0.02324131, RMSE_E_per_atom=    4.04 meV, RMSE_F=   50.56 meV / A
2026-09-02 23:30:50.133 INFO: Epoch 42: head: Default, loss=0.02230776, RMSE_E_per_atom=    3.15 meV, RMSE_F=   49.54 meV / A
2026-09-02 23:30:53.023 INFO: Epoch 43: head: Default, loss=0.02110669, RMSE_E_per_atom=    3.97 meV, RMSE_F=   48.18 meV / A
2026-09-02 23:30:55.840 INFO: Epoch 44: head: Default, loss=0.02165391, RMSE_E_per_atom=    6.84 meV, RMSE_F=   48.80 meV / A
2026-09-02 23:30:58.606 INFO: Epoch 45: head: Default, loss=0.02077390, RMSE_E_per_atom=    4.93 meV, RMSE_F=   47.80 meV / A
2026-09-02 23:31:01.398 INFO: Epoch 46: head: Default, loss=0.01975852, RMSE_E_per_atom=    4.03 meV, RMSE_F=   46.62 meV / A
2026-09-02 23:31:04.183 INFO: Epoch 47: head: Default, loss=0.01899873, RMSE_E_per_atom=    5.03 meV, RMSE_F=   45.71 meV / A
2026-09-02 23:31:06.968 INFO: Epoch 48: head: Default, loss=0.01839991, RMSE_E_per_atom=    7.02 meV, RMSE_F=   44.98 meV / A
2026-09-02 23:31:09.747 INFO: Epoch 49: head: Default, loss=0.01779055, RMSE_E_per_atom=    3.23 meV, RMSE_F=   44.24 meV / A
2026-09-02 23:31:12.532 INFO: Epoch 50: head: Default, loss=0.01724262, RMSE_E_per_atom=    5.25 meV, RMSE_F=   43.55 meV / A
2026-09-02 23:31:15.325 INFO: Epoch 51: head: Default, loss=0.01688738, RMSE_E_per_atom=    4.96 meV, RMSE_F=   43.10 meV / A
2026-09-02 23:31:18.114 INFO: Epoch 52: head: Default, loss=0.01611079, RMSE_E_per_atom=    2.80 meV, RMSE_F=   42.10 meV / A
2026-09-02 23:31:20.909 INFO: Epoch 53: head: Default, loss=0.01573461, RMSE_E_per_atom=    3.87 meV, RMSE_F=   41.60 meV / A
2026-09-02 23:31:23.710 INFO: Epoch 54: head: Default, loss=0.01596637, RMSE_E_per_atom=    3.07 meV, RMSE_F=   41.91 meV / A
2026-09-02 23:31:26.485 INFO: Epoch 55: head: Default, loss=0.01555664, RMSE_E_per_atom=    3.29 meV, RMSE_F=   41.37 meV / A
2026-09-02 23:31:29.278 INFO: Epoch 56: head: Default, loss=0.01486725, RMSE_E_per_atom=    4.09 meV, RMSE_F=   40.44 meV / A
2026-09-02 23:31:32.069 INFO: Epoch 57: head: Default, loss=0.01465772, RMSE_E_per_atom=    5.11 meV, RMSE_F=   40.15 meV / A
2026-09-02 23:31:34.867 INFO: Epoch 58: head: Default, loss=0.01410730, RMSE_E_per_atom=    4.52 meV, RMSE_F=   39.39 meV / A
2026-09-02 23:31:37.651 INFO: Epoch 59: head: Default, loss=0.01380295, RMSE_E_per_atom=    3.34 meV, RMSE_F=   38.96 meV / A
2026-09-02 23:31:40.435 INFO: Epoch 60: head: Default, loss=0.01327173, RMSE_E_per_atom=    2.14 meV, RMSE_F=   38.21 meV / A
2026-09-02 23:31:43.224 INFO: Epoch 61: head: Default, loss=0.01290817, RMSE_E_per_atom=    3.21 meV, RMSE_F=   37.68 meV / A
2026-09-02 23:31:46.012 INFO: Epoch 62: head: Default, loss=0.01311348, RMSE_E_per_atom=    4.24 meV, RMSE_F=   37.98 meV / A
2026-09-02 23:31:48.776 INFO: Epoch 63: head: Default, loss=0.01277715, RMSE_E_per_atom=    3.33 meV, RMSE_F=   37.49 meV / A
2026-09-02 23:31:51.557 INFO: Epoch 64: head: Default, loss=0.01245022, RMSE_E_per_atom=    5.03 meV, RMSE_F=   37.00 meV / A
2026-09-02 23:31:54.350 INFO: Epoch 65: head: Default, loss=0.01235011, RMSE_E_per_atom=    4.79 meV, RMSE_F=   36.85 meV / A
2026-09-02 23:31:57.140 INFO: Epoch 66: head: Default, loss=0.01243610, RMSE_E_per_atom=    7.06 meV, RMSE_F=   36.98 meV / A
2026-09-02 23:31:59.901 INFO: Epoch 67: head: Default, loss=0.01235670, RMSE_E_per_atom=    4.35 meV, RMSE_F=   36.87 meV / A
2026-09-02 23:32:02.666 INFO: Epoch 68: head: Default, loss=0.01203649, RMSE_E_per_atom=    3.75 meV, RMSE_F=   36.39 meV / A
2026-09-02 23:32:05.457 INFO: Epoch 69: head: Default, loss=0.01152007, RMSE_E_per_atom=    3.28 meV, RMSE_F=   35.60 meV / A
2026-09-02 23:32:08.239 INFO: Epoch 70: head: Default, loss=0.01103947, RMSE_E_per_atom=    3.25 meV, RMSE_F=   34.85 meV / A
2026-09-02 23:32:11.012 INFO: Epoch 71: head: Default, loss=0.01085103, RMSE_E_per_atom=    1.89 meV, RMSE_F=   34.55 meV / A
2026-09-02 23:32:13.801 INFO: Epoch 72: head: Default, loss=0.01059239, RMSE_E_per_atom=    2.31 meV, RMSE_F=   34.13 meV / A
2026-09-02 23:32:16.578 INFO: Epoch 73: head: Default, loss=0.01118222, RMSE_E_per_atom=    8.45 meV, RMSE_F=   35.06 meV / A
2026-09-02 23:32:19.347 INFO: Epoch 74: head: Default, loss=0.01164407, RMSE_E_per_atom=    5.44 meV, RMSE_F=   35.78 meV / A
2026-09-02 23:32:22.113 INFO: Epoch 75: head: Default, loss=0.01159312, RMSE_E_per_atom=    4.83 meV, RMSE_F=   35.71 meV / A
2026-09-02 23:32:24.880 INFO: Epoch 76: head: Default, loss=0.01133411, RMSE_E_per_atom=    4.24 meV, RMSE_F=   35.31 meV / A
2026-09-02 23:32:27.643 INFO: Epoch 77: head: Default, loss=0.01088616, RMSE_E_per_atom=    4.60 meV, RMSE_F=   34.60 meV / A
2026-09-02 23:32:30.404 INFO: Epoch 78: head: Default, loss=0.01057012, RMSE_E_per_atom=    2.64 meV, RMSE_F=   34.10 meV / A
2026-09-02 23:32:33.180 INFO: Epoch 79: head: Default, loss=0.01038038, RMSE_E_per_atom=    2.59 meV, RMSE_F=   33.79 meV / A
2026-09-02 23:32:35.956 INFO: Epoch 80: head: Default, loss=0.01004463, RMSE_E_per_atom=    2.79 meV, RMSE_F=   33.24 meV / A
2026-09-02 23:32:38.741 INFO: Epoch 81: head: Default, loss=0.00982248, RMSE_E_per_atom=    1.60 meV, RMSE_F=   32.87 meV / A
2026-09-02 23:32:41.523 INFO: Epoch 82: head: Default, loss=0.00997392, RMSE_E_per_atom=    4.32 meV, RMSE_F=   33.12 meV / A
2026-09-02 23:32:44.284 INFO: Epoch 83: head: Default, loss=0.00981166, RMSE_E_per_atom=    2.74 meV, RMSE_F=   32.85 meV / A
2026-09-02 23:32:47.067 INFO: Epoch 84: head: Default, loss=0.00947015, RMSE_E_per_atom=    2.32 meV, RMSE_F=   32.27 meV / A
2026-09-02 23:32:49.857 INFO: Epoch 85: head: Default, loss=0.00926973, RMSE_E_per_atom=    2.98 meV, RMSE_F=   31.93 meV / A
2026-09-02 23:32:52.636 INFO: Epoch 86: head: Default, loss=0.00901401, RMSE_E_per_atom=    2.54 meV, RMSE_F=   31.49 meV / A
2026-09-02 23:32:55.418 INFO: Epoch 87: head: Default, loss=0.00860773, RMSE_E_per_atom=    1.43 meV, RMSE_F=   30.77 meV / A
2026-09-02 23:32:58.197 INFO: Epoch 88: head: Default, loss=0.00837943, RMSE_E_per_atom=    2.67 meV, RMSE_F=   30.36 meV / A
2026-09-02 23:33:00.982 INFO: Epoch 89: head: Default, loss=0.00830589, RMSE_E_per_atom=    3.69 meV, RMSE_F=   30.22 meV / A
2026-09-02 23:33:03.767 INFO: Epoch 90: head: Default, loss=0.00821139, RMSE_E_per_atom=    2.90 meV, RMSE_F=   30.05 meV / A
2026-09-02 23:33:06.549 INFO: Epoch 91: head: Default, loss=0.00802626, RMSE_E_per_atom=    2.09 meV, RMSE_F=   29.71 meV / A
2026-09-02 23:33:09.363 INFO: Epoch 92: head: Default, loss=0.00780249, RMSE_E_per_atom=    1.76 meV, RMSE_F=   29.30 meV / A
2026-09-02 23:33:12.136 INFO: Epoch 93: head: Default, loss=0.00766453, RMSE_E_per_atom=    2.52 meV, RMSE_F=   29.04 meV / A
2026-09-02 23:33:14.914 INFO: Epoch 94: head: Default, loss=0.00757207, RMSE_E_per_atom=    4.22 meV, RMSE_F=   28.86 meV / A
2026-09-02 23:33:17.689 INFO: Epoch 95: head: Default, loss=0.00751036, RMSE_E_per_atom=    2.11 meV, RMSE_F=   28.74 meV / A
2026-09-02 23:33:20.463 INFO: Epoch 96: head: Default, loss=0.00750829, RMSE_E_per_atom=    2.49 meV, RMSE_F=   28.74 meV / A
2026-09-02 23:33:23.249 INFO: Epoch 97: head: Default, loss=0.00764539, RMSE_E_per_atom=    1.91 meV, RMSE_F=   29.00 meV / A
2026-09-02 23:33:26.010 INFO: Epoch 98: head: Default, loss=0.00763213, RMSE_E_per_atom=    2.98 meV, RMSE_F=   28.97 meV / A
2026-09-02 23:33:28.767 INFO: Epoch 99: head: Default, loss=0.00771352, RMSE_E_per_atom=    6.02 meV, RMSE_F=   29.12 meV / A
2026-09-02 23:33:31.534 INFO: Epoch 100: head: Default, loss=0.00754768, RMSE_E_per_atom=    2.46 meV, RMSE_F=   28.81 meV / A
2026-09-02 23:33:34.305 INFO: Epoch 101: head: Default, loss=0.00738941, RMSE_E_per_atom=    2.66 meV, RMSE_F=   28.51 meV / A
2026-09-02 23:33:37.090 INFO: Epoch 102: head: Default, loss=0.00710715, RMSE_E_per_atom=    2.55 meV, RMSE_F=   27.96 meV / A
2026-09-02 23:33:39.877 INFO: Epoch 103: head: Default, loss=0.00704281, RMSE_E_per_atom=    2.45 meV, RMSE_F=   27.83 meV / A
2026-09-02 23:33:42.659 INFO: Epoch 104: head: Default, loss=0.00686347, RMSE_E_per_atom=    2.81 meV, RMSE_F=   27.48 meV / A
2026-09-02 23:33:45.444 INFO: Epoch 105: head: Default, loss=0.00665666, RMSE_E_per_atom=    2.20 meV, RMSE_F=   27.06 meV / A
2026-09-02 23:33:48.225 INFO: Epoch 106: head: Default, loss=0.00658069, RMSE_E_per_atom=    2.74 meV, RMSE_F=   26.90 meV / A
2026-09-02 23:33:51.010 INFO: Epoch 107: head: Default, loss=0.00645248, RMSE_E_per_atom=    2.56 meV, RMSE_F=   26.64 meV / A
