2026-09-02 23:28:30.633 INFO: ===========VERIFYING SETTINGS===========
2026-09-02 23:28:30.634 INFO: Stage Two is activated as start_stage_two was defined
2026-09-02 23:28:30.634 WARNING: start_stage_two must be less than max_num_epochs, got 501 > 500
2026-09-02 23:28:30.634 WARNING: Stage Two will not start, as start_stage_two > max_num_epochs
2026-09-02 23:28:30.634 INFO: MACE version: 0.3.16
2026-09-02 23:28:30.710 INFO: CUDA version: 12.6, CUDA device: 0
2026-09-02 23:28:30.761 INFO: ===========LOADING INPUT DATA===========
2026-09-02 23:28:30.761 INFO: Using heads: ['Default']
2026-09-02 23:28:30.761 INFO: Using the key specifications to parse data:
2026-09-02 23:28:30.761 INFO: Default: KeySpecification(info_keys={'energy': 'TotEnergy', 'stress': 'REF_stress', 'virials': 'REF_virials', 'dipole': 'dipole', 'head': 'head', 'elec_temp': 'elec_temp', 'total_charge': 'total_charge', 'polarizability': 'polarizability', 'total_spin': 'total_spin'}, arrays_keys={'forces': 'force', 'charges': 'REF_charges'})
2026-09-02 23:28:30.761 INFO: =============    Processing head Default     ===========
2026-09-02 23:28:30.894 INFO: Training set 1/1 [energy: 206, stress: 0, virials: 0, dipole components: 0, head: 206, elec_temp: 0, total_charge: 0, polarizability: 0, total_spin: 0, forces: 206, charges: 0]
2026-09-02 23:28:30.895 INFO: Total Training set [energy: 206, stress: 0, virials: 0, dipole components: 0, head: 206, elec_temp: 0, total_charge: 0, polarizability: 0, total_spin: 0, forces: 206, charges: 0]
2026-09-02 23:28:30.916 INFO: Validation set 1/1 [energy: 11, stress: 0, virials: 0, dipole components: 0, head: 11, elec_temp: 0, total_charge: 0, polarizability: 0, total_spin: 0, forces: 11, charges: 0]
2026-09-02 23:28:30.916 INFO: Total Validation set [energy: 11, stress: 0, virials: 0, dipole components: 0, head: 11, elec_temp: 0, total_charge: 0, polarizability: 0, total_spin: 0, forces: 11, charges: 0]
2026-09-02 23:28:30.916 INFO: Total number of configurations: train=206, valid=11, tests=[],
2026-09-02 23:28:30.916 INFO: Using atomic numbers from command line argument
2026-09-02 23:28:30.916 INFO: Atomic Numbers used: [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 26, 29, 30, 35, 53]
2026-09-02 23:28:30.917 INFO: Isolated Atomic Energies (E0s) not in training file, using command line argument
2026-09-02 23:28:30.917 INFO: Atomic Energies used (z: eV) for head Default: {1: -13.44479871561175, 2: -78.82026497397555, 3: -203.32889490923526, 4: -398.9476678874043, 5: -670.7505467717353, 6: -1029.852812546429, 7: -1485.5394904484108, 8: -2042.975987335815, 9: -2714.2417581011205, 10: -3508.7436184608446, 11: -4415.242408190776, 12: -5443.898798172279, 13: -6594.619151072571, 14: -7873.684872727564, 15: -9285.660884444838, 16: -10832.622086200296, 17: -12520.671203385575, 18: -14354.28030489181, 19: -16323.546294804388, 20: -18436.482948520596, 26: -34384.00563450578, 29: -44637.392129868334, 30: -48417.153705836645, 35: -70041.25095534947, 53: -8099.879137037657}
2026-09-02 23:28:30.917 INFO: Processing datasets for head 'Default'
2026-09-02 23:28:31.087 INFO: Combining 1 list datasets for head 'Default'
2026-09-02 23:28:31.097 INFO: Combining 1 list datasets for head 'Default_valid'
2026-09-02 23:28:31.097 INFO: Combined validation datasets for Default
2026-09-02 23:28:31.097 INFO: Head 'Default' training dataset size: 206
2026-09-02 23:28:31.098 INFO: Computing average number of neighbors
2026-09-02 23:28:31.391 INFO: Average number of neighbors: 21.397192001342773
2026-09-02 23:28:31.391 INFO: During training the following quantities will be reported: energy, forces
2026-09-02 23:28:31.391 INFO: ===========MODEL DETAILS===========
2026-09-02 23:28:31.579 INFO: Building model
2026-09-02 23:28:31.580 INFO: Message passing with 32 channels and max_L=0 (32x0e)
2026-09-02 23:28:31.580 INFO: 2 layers, each with correlation order: 3 (body order: 4) and spherical harmonics up to: l=3
2026-09-02 23:28:31.580 INFO: 8 radial and 5 basis functions
2026-09-02 23:28:31.580 INFO: Radial cutoff: 5.0 A (total receptive field for each atom: 10.0 A)
2026-09-02 23:28:31.580 INFO: Distance transform for radial basis functions: None
2026-09-02 23:28:31.580 INFO: Hidden irreps: 32x0e
2026-09-02 23:28:32.582 INFO: ===========OPTIMIZER INFORMATION===========
2026-09-02 23:28:32.583 INFO: Using ADAM as parameter optimizer
2026-09-02 23:28:32.583 INFO: Batch size: 4
2026-09-02 23:28:32.583 INFO: Using Exponential Moving Average with decay: 0.99
2026-09-02 23:28:32.583 INFO: Number of gradient updates: 25750
2026-09-02 23:28:32.583 INFO: Learning rate: 0.01, weight decay: 1e-06
2026-09-02 23:28:32.583 INFO: WeightedEnergyForcesLoss(energy_weight=1.000, forces_weight=100.000)
2026-09-02 23:28:32.583 INFO: === Layer's learning rates ===
2026-09-02 23:28:32.584 INFO: Param group 0: lr = 0.01
2026-09-02 23:28:32.584 INFO: Param group 1: lr = 0.01
2026-09-02 23:28:32.584 INFO: Param group 2: lr = 0.01
2026-09-02 23:28:32.584 INFO: Param group 3: lr = 0.01
2026-09-02 23:28:32.584 INFO: Param group 4: lr = 0.01
2026-09-02 23:28:32.585 INFO: Using gradient clipping with tolerance=10.000
2026-09-02 23:28:32.585 INFO: 
2026-09-02 23:28:32.585 INFO: ===========TRAINING===========
2026-09-02 23:28:32.585 INFO: Started training, reporting errors on validation set
2026-09-02 23:28:32.585 INFO: Loss metrics on validation set
2026-09-02 23:28:33.655 INFO: Initial: head: Default, loss=2.58477521, RMSE_E_per_atom= 5004.50 meV, RMSE_F=  184.05 meV / A
2026-09-02 23:30:20.918 INFO: Epoch 36: head: Default, loss=0.03062540, RMSE_E_per_atom=    6.31 meV, RMSE_F=   58.04 meV / A
2026-09-02 23:30:23.663 INFO: Epoch 37: head: Default, loss=0.02994035, RMSE_E_per_atom=    9.27 meV, RMSE_F=   57.38 meV / A
2026-09-02 23:30:26.411 INFO: Epoch 38: head: Default, loss=0.02946888, RMSE_E_per_atom=    4.72 meV, RMSE_F=   56.93 meV / A
2026-09-02 23:30:29.159 INFO: Epoch 39: head: Default, loss=0.02807491, RMSE_E_per_atom=    5.25 meV, RMSE_F=   55.57 meV / A
2026-09-02 23:30:31.908 INFO: Epoch 40: head: Default, loss=0.02746511, RMSE_E_per_atom=    3.42 meV, RMSE_F=   54.96 meV / A
2026-09-02 23:30:34.660 INFO: Epoch 41: head: Default, loss=0.02595424, RMSE_E_per_atom=    3.57 meV, RMSE_F=   53.43 meV / A
2026-09-02 23:30:37.408 INFO: Epoch 42: head: Default, loss=0.02457289, RMSE_E_per_atom=    5.80 meV, RMSE_F=   51.99 meV / A
2026-09-02 23:30:40.150 INFO: Epoch 43: head: Default, loss=0.02399527, RMSE_E_per_atom=    5.80 meV, RMSE_F=   51.37 meV / A
2026-09-02 23:30:42.947 INFO: Epoch 44: head: Default, loss=0.02344455, RMSE_E_per_atom=    7.36 meV, RMSE_F=   50.78 meV / A
2026-09-02 23:30:45.768 INFO: Epoch 45: head: Default, loss=0.02250884, RMSE_E_per_atom=    3.68 meV, RMSE_F=   49.76 meV / A
2026-09-02 23:30:48.584 INFO: Epoch 46: head: Default, loss=0.02164388, RMSE_E_per_atom=    3.31 meV, RMSE_F=   48.79 meV / A
2026-09-02 23:30:51.436 INFO: Epoch 47: head: Default, loss=0.02086274, RMSE_E_per_atom=    7.84 meV, RMSE_F=   47.90 meV / A
2026-09-02 23:30:54.247 INFO: Epoch 48: head: Default, loss=0.02015703, RMSE_E_per_atom=    2.91 meV, RMSE_F=   47.09 meV / A
2026-09-02 23:30:57.067 INFO: Epoch 49: head: Default, loss=0.01976369, RMSE_E_per_atom=    3.56 meV, RMSE_F=   46.62 meV / A
2026-09-02 23:30:59.880 INFO: Epoch 50: head: Default, loss=0.01886623, RMSE_E_per_atom=    7.12 meV, RMSE_F=   45.55 meV / A
2026-09-02 23:31:02.649 INFO: Epoch 51: head: Default, loss=0.01792842, RMSE_E_per_atom=    5.38 meV, RMSE_F=   44.41 meV / A
2026-09-02 23:31:05.398 INFO: Epoch 52: head: Default, loss=0.01798796, RMSE_E_per_atom=    6.26 meV, RMSE_F=   44.48 meV / A
2026-09-02 23:31:08.114 INFO: Epoch 53: head: Default, loss=0.01733835, RMSE_E_per_atom=    3.47 meV, RMSE_F=   43.67 meV / A
2026-09-02 23:31:10.854 INFO: Epoch 54: head: Default, loss=0.01679775, RMSE_E_per_atom=    7.18 meV, RMSE_F=   42.98 meV / A
2026-09-02 23:31:13.604 INFO: Epoch 55: head: Default, loss=0.01661967, RMSE_E_per_atom=    7.55 meV, RMSE_F=   42.75 meV / A
2026-09-02 23:31:16.352 INFO: Epoch 56: head: Default, loss=0.01663725, RMSE_E_per_atom=    4.96 meV, RMSE_F=   42.78 meV / A
2026-09-02 23:31:19.080 INFO: Epoch 57: head: Default, loss=0.01740916, RMSE_E_per_atom=    7.12 meV, RMSE_F=   43.76 meV / A
2026-09-02 23:31:21.814 INFO: Epoch 58: head: Default, loss=0.01799726, RMSE_E_per_atom=    6.09 meV, RMSE_F=   44.49 meV / A
2026-09-02 23:31:24.544 INFO: Epoch 59: head: Default, loss=0.01737922, RMSE_E_per_atom=    4.45 meV, RMSE_F=   43.72 meV / A
2026-09-02 23:31:27.279 INFO: Epoch 60: head: Default, loss=0.01653151, RMSE_E_per_atom=    3.94 meV, RMSE_F=   42.64 meV / A
2026-09-02 23:31:30.023 INFO: Epoch 61: head: Default, loss=0.01569100, RMSE_E_per_atom=    3.34 meV, RMSE_F=   41.54 meV / A
2026-09-02 23:31:32.778 INFO: Epoch 62: head: Default, loss=0.01481688, RMSE_E_per_atom=    2.32 meV, RMSE_F=   40.37 meV / A
2026-09-02 23:31:35.531 INFO: Epoch 63: head: Default, loss=0.01431053, RMSE_E_per_atom=    5.61 meV, RMSE_F=   39.67 meV / A
2026-09-02 23:31:38.279 INFO: Epoch 64: head: Default, loss=0.01378615, RMSE_E_per_atom=    2.60 meV, RMSE_F=   38.94 meV / A
2026-09-02 23:31:41.022 INFO: Epoch 65: head: Default, loss=0.01319403, RMSE_E_per_atom=    3.33 meV, RMSE_F=   38.10 meV / A
2026-09-02 23:31:43.769 INFO: Epoch 66: head: Default, loss=0.01287575, RMSE_E_per_atom=    2.32 meV, RMSE_F=   37.63 meV / A
2026-09-02 23:31:46.518 INFO: Epoch 67: head: Default, loss=0.01271007, RMSE_E_per_atom=    4.82 meV, RMSE_F=   37.39 meV / A
2026-09-02 23:31:49.260 INFO: Epoch 68: head: Default, loss=0.01230222, RMSE_E_per_atom=    4.26 meV, RMSE_F=   36.78 meV / A
2026-09-02 23:31:52.006 INFO: Epoch 69: head: Default, loss=0.01201262, RMSE_E_per_atom=    1.92 meV, RMSE_F=   36.35 meV / A
2026-09-02 23:31:54.757 INFO: Epoch 70: head: Default, loss=0.01185165, RMSE_E_per_atom=    3.17 meV, RMSE_F=   36.11 meV / A
2026-09-02 23:31:57.502 INFO: Epoch 71: head: Default, loss=0.01155027, RMSE_E_per_atom=    2.53 meV, RMSE_F=   35.64 meV / A
2026-09-02 23:32:00.249 INFO: Epoch 72: head: Default, loss=0.01115325, RMSE_E_per_atom=    2.57 meV, RMSE_F=   35.03 meV / A
2026-09-02 23:32:03.000 INFO: Epoch 73: head: Default, loss=0.01115551, RMSE_E_per_atom=    1.79 meV, RMSE_F=   35.03 meV / A
2026-09-02 23:32:05.734 INFO: Epoch 74: head: Default, loss=0.01081881, RMSE_E_per_atom=    1.74 meV, RMSE_F=   34.50 meV / A
2026-09-02 23:32:08.474 INFO: Epoch 75: head: Default, loss=0.01067180, RMSE_E_per_atom=    2.58 meV, RMSE_F=   34.26 meV / A
2026-09-02 23:32:11.213 INFO: Epoch 76: head: Default, loss=0.01023454, RMSE_E_per_atom=    2.40 meV, RMSE_F=   33.55 meV / A
2026-09-02 23:32:13.968 INFO: Epoch 77: head: Default, loss=0.01006388, RMSE_E_per_atom=    3.01 meV, RMSE_F=   33.27 meV / A
2026-09-02 23:32:16.708 INFO: Epoch 78: head: Default, loss=0.01015476, RMSE_E_per_atom=    2.32 meV, RMSE_F=   33.42 meV / A
2026-09-02 23:32:19.439 INFO: Epoch 79: head: Default, loss=0.00983222, RMSE_E_per_atom=    2.76 meV, RMSE_F=   32.89 meV / A
2026-09-02 23:32:22.188 INFO: Epoch 80: head: Default, loss=0.00957257, RMSE_E_per_atom=    2.10 meV, RMSE_F=   32.45 meV / A
2026-09-02 23:32:24.940 INFO: Epoch 81: head: Default, loss=0.00947590, RMSE_E_per_atom=    3.13 meV, RMSE_F=   32.28 meV / A
2026-09-02 23:32:27.688 INFO: Epoch 82: head: Default, loss=0.00929014, RMSE_E_per_atom=    1.68 meV, RMSE_F=   31.97 meV / A
2026-09-02 23:32:30.433 INFO: Epoch 83: head: Default, loss=0.00910026, RMSE_E_per_atom=    1.70 meV, RMSE_F=   31.64 meV / A
2026-09-02 23:32:33.171 INFO: Epoch 84: head: Default, loss=0.00892263, RMSE_E_per_atom=    2.28 meV, RMSE_F=   31.33 meV / A
2026-09-02 23:32:35.911 INFO: Epoch 85: head: Default, loss=0.00907309, RMSE_E_per_atom=    1.79 meV, RMSE_F=   31.59 meV / A
2026-09-02 23:32:38.637 INFO: Epoch 86: head: Default, loss=0.00878259, RMSE_E_per_atom=    2.60 meV, RMSE_F=   31.08 meV / A
2026-09-02 23:32:41.382 INFO: Epoch 87: head: Default, loss=0.00865848, RMSE_E_per_atom=    1.45 meV, RMSE_F=   30.86 meV / A
2026-09-02 23:32:44.127 INFO: Epoch 88: head: Default, loss=0.00865129, RMSE_E_per_atom=    2.81 meV, RMSE_F=   30.85 meV / A
2026-09-02 23:32:46.871 INFO: Epoch 89: head: Default, loss=0.00847817, RMSE_E_per_atom=    4.10 meV, RMSE_F=   30.54 meV / A
2026-09-02 23:32:49.619 INFO: Epoch 90: head: Default, loss=0.00834737, RMSE_E_per_atom=    1.92 meV, RMSE_F=   30.30 meV / A
2026-09-02 23:32:52.365 INFO: Epoch 91: head: Default, loss=0.00841011, RMSE_E_per_atom=    3.64 meV, RMSE_F=   30.41 meV / A
2026-09-02 23:32:55.091 INFO: Epoch 92: head: Default, loss=0.00852665, RMSE_E_per_atom=    4.12 meV, RMSE_F=   30.62 meV / A
2026-09-02 23:32:57.813 INFO: Epoch 93: head: Default, loss=0.00860512, RMSE_E_per_atom=    4.77 meV, RMSE_F=   30.76 meV / A
2026-09-02 23:33:00.537 INFO: Epoch 94: head: Default, loss=0.00836632, RMSE_E_per_atom=    3.29 meV, RMSE_F=   30.33 meV / A
2026-09-02 23:33:03.263 INFO: Epoch 95: head: Default, loss=0.00822235, RMSE_E_per_atom=    1.54 meV, RMSE_F=   30.07 meV / A
2026-09-02 23:33:06.012 INFO: Epoch 96: head: Default, loss=0.00816668, RMSE_E_per_atom=    2.84 meV, RMSE_F=   29.97 meV / A
2026-09-02 23:33:08.755 INFO: Epoch 97: head: Default, loss=0.00810967, RMSE_E_per_atom=    4.12 meV, RMSE_F=   29.86 meV / A
2026-09-02 23:33:11.495 INFO: Epoch 98: head: Default, loss=0.00799215, RMSE_E_per_atom=    3.77 meV, RMSE_F=   29.65 meV / A
2026-09-02 23:33:14.233 INFO: Epoch 99: head: Default, loss=0.00800252, RMSE_E_per_atom=    1.37 meV, RMSE_F=   29.67 meV / A
2026-09-02 23:33:16.957 INFO: Epoch 100: head: Default, loss=0.00816528, RMSE_E_per_atom=    3.40 meV, RMSE_F=   29.97 meV / A
2026-09-02 23:33:19.676 INFO: Epoch 101: head: Default, loss=0.00813595, RMSE_E_per_atom=    3.50 meV, RMSE_F=   29.91 meV / A
2026-09-02 23:33:22.409 INFO: Epoch 102: head: Default, loss=0.00795001, RMSE_E_per_atom=    2.89 meV, RMSE_F=   29.57 meV / A
2026-09-02 23:33:25.160 INFO: Epoch 103: head: Default, loss=0.00785647, RMSE_E_per_atom=    1.96 meV, RMSE_F=   29.40 meV / A
2026-09-02 23:33:27.909 INFO: Epoch 104: head: Default, loss=0.00776793, RMSE_E_per_atom=    1.57 meV, RMSE_F=   29.23 meV / A
2026-09-02 23:33:30.658 INFO: Epoch 105: head: Default, loss=0.00746800, RMSE_E_per_atom=    1.38 meV, RMSE_F=   28.66 meV / A
2026-09-02 23:33:33.408 INFO: Epoch 106: head: Default, loss=0.00733263, RMSE_E_per_atom=    3.12 meV, RMSE_F=   28.40 meV / A
2026-09-02 23:33:36.156 INFO: Epoch 107: head: Default, loss=0.00713929, RMSE_E_per_atom=    3.71 meV, RMSE_F=   28.02 meV / A
